Rank,Name,,Country,Qualification,Semi-Final,Final
1,SEAN,MCCOLL,CAN,top  1. | top  1. [5.50],37+,38+
2,JORG,VERHOEVEN,NED,31   17. | top  1. [9.81],36+,33
3,STEFANO,GHISOLFI,ITA,top  1. | 33+  11. [8.12],32+,32
4,JAKOB,SCHUBERT,AUT,top  1. | top  1. [5.50],40+,30+
5,ROMAIN,DESGRANGES,FRA,top  1. | top  1. [5.50],39+,29
6,HYUNBIN,MIN,KOR,top  1. | top  1. [5.50],31,26+
7,MARIO,LECHNER,AUT,top  1. | top  1. [5.50],34+,24
8,MANUEL,ROMAIN,FRA,top  1. | top  1. [5.50],34,19+
9,ZIDA,MA,CHN,31   17. | 32+  15. [16.20],26,
10,MIKHAIL,CHERNIKOV,RUS,top  1. | top  1. [5.50],22+,
11,DOMEN,SKOFIC,SLO,top  1. | 33+  11. [8.12],22+,
12,URBAN,PRIMOZIC,SLO,32   11. | 33+  11. [11.49],22+,
13,VICTOR,ESTELLER OCAÑA,ESP,31+  12. | 28+  17. [15.65],21+,
14,JIACUO,SUOLANG,CHN,31+  12. | 28+  17. [15.65],21,
15,MARCO ANTONIO,JUBES ANGARITA,ESP,31+  12. | 33   14. [14.00],20+,
16,THOMAS,BALLET,FRA,31+  12. | top  1. [8.77],20,
17,JABEE,KIM,KOR,31+  12. | 30+  16. [14.97],15+,
18,YEU-SHIANG,CHANG,TPE,13+  20. | 26   19. [19.49],15+,
19,RAMÓN,JULIAN PUIGBLANQUE,ESP,top  1. | top  1. [5.50],12+,
20,KA-WAI,CHU,HKG,21+  19. | 22   20. [19.49],12+,
